期号,百位,十位,个位,和值,跨度,重复数字
4259,4 ,6 ,0 ,10,6,0
4260,5 ,7 ,3 ,15,4,0
4261,9 ,8 ,7 ,24,2,0
4262,6 ,4 ,8 ,18,4,0
4263,1 ,1 ,4 ,6,3,1
4264,1 ,6 ,7 ,14,6,0
4265,8 ,6 ,3 ,17,5,0
4266,2 ,3 ,3 ,8,1,1
4267,4 ,0 ,5 ,9,5,0
4268,9 ,5 ,7 ,21,4,0
4269,5 ,2 ,9 ,16,7,0
4270,0 ,0 ,4 ,4,4,1
4271,2 ,2 ,4 ,8,2,1
4272,4 ,2 ,3 ,9,2,0
4273,7 ,8 ,9 ,24,2,0
4274,6 ,8 ,0 ,14,8,0
4275,0 ,0 ,8 ,8,8,1
4276,4 ,2 ,3 ,9,2,0
4277,0 ,3 ,0 ,3,3,1
4278,5 ,1 ,7 ,13,6,0
4279,8 ,6 ,7 ,21,2,0
4280,8 ,0 ,5 ,13,8,0
4281,9 ,8 ,0 ,17,9,0
4282,8 ,9 ,9 ,26,1,1
4283,7 ,7 ,6 ,20,1,1
4284,1 ,4 ,9 ,14,8,0
4285,0 ,7 ,2 ,9,7,0
4286,0 ,1 ,9 ,10,9,0
4287,5 ,5 ,4 ,14,1,1
4288,5 ,7 ,4 ,16,3,0
4289,5 ,2 ,4 ,11,3,0
4290,3 ,2 ,2 ,7,1,1
4291,7 ,2 ,6 ,15,5,0
4292,1 ,7 ,6 ,14,6,0
4293,1 ,8 ,5 ,14,7,0
4294,0 ,2 ,4 ,6,4,0
4295,2 ,9 ,3 ,14,7,0
4296,1 ,6 ,4 ,11,5,0
4297,3 ,2 ,0 ,5,3,0
4298,9 ,6 ,8 ,23,3,0
4299,6 ,8 ,7 ,21,2,0
4300,6 ,3 ,4 ,13,3,0
4301,6 ,4 ,3 ,13,3,0
4302,9 ,5 ,5 ,19,4,1
4303,7 ,5 ,5 ,17,2,1
4304,9 ,9 ,2 ,20,7,1
4305,2 ,8 ,3 ,13,6,0
4306,5 ,9 ,0 ,14,9,0
4307,4 ,3 ,2 ,9,2,0
4308,6 ,4 ,5 ,15,2,0
4309,3 ,1 ,9 ,13,8,0
4310,3 ,6 ,8 ,17,5,0
4311,6 ,1 ,3 ,10,5,0
4312,9 ,4 ,5 ,18,5,0
4313,7 ,4 ,2 ,13,5,0
4314,2 ,2 ,4 ,8,2,1
4315,0 ,5 ,7 ,12,7,0
4316,4 ,7 ,4 ,15,3,1
4317,6 ,1 ,0 ,7,6,0
4318,0 ,8 ,7 ,15,8,0
4319,8 ,7 ,5 ,20,3,0
4320,9 ,6 ,9 ,24,3,1
4321,3 ,0 ,3 ,6,3,1
4322,3 ,4 ,4 ,11,1,1
4323,6 ,8 ,3 ,17,5,0
4324,3 ,0 ,0 ,3,3,1
4325,7 ,7 ,4 ,18,3,1
4326,8 ,0 ,5 ,13,8,0
4327,6 ,1 ,8 ,15,7,0
4328,4 ,8 ,8 ,20,4,1
4329,2 ,0 ,4 ,6,4,0
4330,2 ,5 ,6 ,13,4,0
4331,4 ,4 ,4 ,12,0,1
4332,3 ,3 ,5 ,11,2,1
4333,7 ,2 ,3 ,12,5,0
4334,6 ,3 ,0 ,9,6,0
4335,8 ,0 ,9 ,17,9,0
4336,0 ,0 ,4 ,4,4,1
4337,4 ,7 ,8 ,19,4,0
4338,0 ,6 ,8 ,14,8,0
4339,7 ,0 ,2 ,9,7,0
4340,1 ,5 ,6 ,12,5,0
4341,8 ,5 ,4 ,17,4,0
4342,5 ,8 ,5 ,18,3,1
4343,2 ,3 ,6 ,11,4,0
4344,2 ,4 ,8 ,14,6,0
4345,9 ,0 ,3 ,12,9,0
4346,2 ,1 ,4 ,7,3,0
4347,3 ,9 ,2 ,14,7,0
4348,7 ,5 ,7 ,19,2,1
4349,3 ,1 ,0 ,4,3,0
4350,7 ,9 ,3 ,19,6,0
4351,7 ,0 ,0 ,7,7,1
4352,2 ,5 ,7 ,14,5,0
4353,7 ,6 ,1 ,14,6,0
4354,3 ,8 ,6 ,17,5,0
4355,5 ,0 ,2 ,7,5,0
4356,2 ,1 ,0 ,3,2,0
4357,8 ,7 ,1 ,16,7,0
4358,9 ,7 ,7 ,23,2,1
4359,8 ,1 ,9 ,18,8,0
4360,3 ,0 ,0 ,3,3,1
4361,7 ,4 ,2 ,13,5,0
4362,3 ,6 ,1 ,10,5,0
4363,2 ,0 ,8 ,10,8,0
4364,6 ,9 ,3 ,18,6,0
4365,0 ,7 ,2 ,9,7,0
4366,9 ,6 ,8 ,23,3,0
4367,6 ,5 ,2 ,13,4,0
4368,9 ,1 ,1 ,11,8,1
4369,5 ,3 ,7 ,15,4,0
4370,6 ,6 ,2 ,14,4,1
4371,0 ,3 ,6 ,9,6,0
4372,9 ,2 ,1 ,12,8,0
4373,1 ,4 ,6 ,11,5,0
4374,5 ,5 ,9 ,19,4,1
4375,7 ,1 ,2 ,10,6,0
4376,6 ,3 ,0 ,9,6,0
4377,2 ,0 ,6 ,8,6,0
4378,6 ,7 ,0 ,13,7,0
4379,5 ,4 ,4 ,13,1,1
4380,9 ,3 ,4 ,16,6,0
4381,5 ,2 ,1 ,8,4,0
4382,5 ,5 ,8 ,18,3,1
4383,6 ,2 ,3 ,11,4,0
4384,0 ,5 ,6 ,11,6,0
4385,0 ,3 ,0 ,3,3,1
4386,4 ,0 ,4 ,8,4,1
4387,5 ,0 ,6 ,11,6,0
4388,4 ,8 ,2 ,14,6,0
4389,4 ,9 ,5 ,18,5,0
4390,3 ,0 ,3 ,6,3,1
4391,9 ,9 ,8 ,26,1,1
4392,2 ,8 ,5 ,15,6,0
4393,5 ,5 ,3 ,13,2,1
4394,7 ,3 ,8 ,18,5,0
4395,3 ,8 ,9 ,20,6,0
4396,5 ,4 ,8 ,17,4,0
4397,2 ,8 ,6 ,16,6,0
4398,1 ,7 ,0 ,8,7,0
4399,8 ,9 ,2 ,19,7,0
4400,3 ,5 ,2 ,10,3,0
4401,2 ,5 ,0 ,7,5,0
4402,9 ,5 ,7 ,21,4,0
4403,6 ,1 ,3 ,10,5,0
4404,9 ,7 ,0 ,16,9,0
4405,6 ,6 ,9 ,21,3,1
4406,9 ,6 ,0 ,15,9,0
4407,9 ,6 ,5 ,20,4,0
4408,7 ,6 ,8 ,21,2,0
4409,4 ,8 ,7 ,19,4,0
4410,4 ,2 ,9 ,15,7,0
4411,1 ,2 ,4 ,7,3,0
4412,2 ,4 ,3 ,9,2,0
4413,6 ,4 ,5 ,15,2,0
4414,9 ,1 ,0 ,10,9,0
4415,8 ,2 ,9 ,19,7,0
4416,1 ,8 ,2 ,11,7,0
4417,3 ,8 ,3 ,14,5,1
4418,7 ,5 ,8 ,20,3,0
4419,7 ,4 ,3 ,14,4,0
4420,4 ,9 ,9 ,22,5,1
4421,3 ,1 ,5 ,9,4,0
4422,7 ,0 ,1 ,8,7,0
4423,8 ,5 ,2 ,15,6,0
4424,5 ,8 ,8 ,21,3,1
4425,3 ,4 ,1 ,8,3,0
4426,7 ,8 ,0 ,15,8,0
4427,1 ,4 ,5 ,10,4,0
4428,2 ,1 ,1 ,4,1,1
4429,8 ,7 ,0 ,15,8,0
4430,1 ,3 ,9 ,13,8,0
4431,6 ,5 ,0 ,11,6,0
4432,0 ,8 ,5 ,13,8,0
4433,4 ,0 ,9 ,13,9,0
4434,8 ,4 ,0 ,12,8,0
4435,1 ,6 ,9 ,16,8,0
4436,5 ,8 ,7 ,20,3,0
4437,7 ,6 ,4 ,17,3,0
4438,9 ,0 ,1 ,10,9,0
4439,9 ,2 ,1 ,12,8,0
4440,5 ,9 ,4 ,18,5,0
4441,2 ,4 ,4 ,10,2,1
4442,0 ,7 ,7 ,14,7,1
4443,6 ,1 ,2 ,9,5,0
4444,3 ,6 ,7 ,16,4,0
4445,5 ,7 ,8 ,20,3,0
4446,1 ,8 ,0 ,9,8,0
4447,2 ,6 ,2 ,10,4,1
4448,1 ,0 ,7 ,8,7,0
4449,3 ,9 ,1 ,13,8,0
4450,8 ,2 ,1 ,11,7,0
4451,3 ,9 ,2 ,14,7,0
4452,1 ,1 ,5 ,7,4,1
4453,6 ,7 ,7 ,20,1,1
4454,4 ,1 ,9 ,14,8,0
4455,5 ,7 ,5 ,17,2,1
4456,4 ,1 ,1 ,6,3,1
4457,3 ,1 ,2 ,6,2,0
4458,0 ,4 ,5 ,9,5,0
4459,9 ,4 ,6 ,19,5,0
4460,5 ,8 ,7 ,20,3,0
4461,6 ,6 ,8 ,20,2,1
4462,3 ,4 ,1 ,8,3,0
4463,4 ,6 ,6 ,16,2,1
4464,3 ,1 ,6 ,10,5,0
4465,9 ,8 ,6 ,23,3,0
4466,4 ,8 ,1 ,13,7,0
4467,2 ,7 ,9 ,18,7,0
4468,6 ,3 ,0 ,9,6,0
4469,6 ,3 ,1 ,10,5,0
4470,8 ,4 ,3 ,15,5,0
4471,3 ,5 ,9 ,17,6,0
4472,6 ,5 ,9 ,20,4,0
4473,3 ,4 ,7 ,14,4,0
4474,6 ,8 ,5 ,19,3,0
4475,2 ,6 ,0 ,8,6,0
4476,0 ,7 ,7 ,14,7,1
4477,1 ,3 ,0 ,4,3,0
4478,1 ,9 ,9 ,19,8,1
4479,8 ,0 ,6 ,14,8,0
4480,8 ,0 ,4 ,12,8,0
4481,9 ,8 ,7 ,24,2,0
4482,3 ,9 ,7 ,19,6,0
4483,6 ,3 ,6 ,15,3,1
4484,2 ,8 ,4 ,14,6,0
4485,8 ,7 ,6 ,21,2,0
4486,9 ,6 ,5 ,20,4,0
4487,8 ,5 ,8 ,21,3,1
4488,5 ,9 ,7 ,21,4,0
4489,4 ,1 ,1 ,6,3,1
4490,2 ,0 ,8 ,10,8,0
4491,5 ,3 ,1 ,9,4,0
4492,6 ,2 ,6 ,14,4,1
4493,8 ,9 ,5 ,22,4,0
4494,8 ,8 ,3 ,19,5,1
4495,8 ,3 ,2 ,13,6,0
4496,9 ,8 ,0 ,17,9,0
4497,6 ,4 ,8 ,18,4,0
4498,5 ,8 ,3 ,16,5,0
4499,3 ,6 ,3 ,12,3,1
4500,6 ,2 ,7 ,15,5,0
4501,6 ,4 ,8 ,18,4,0
4502,2 ,8 ,4 ,14,6,0
4503,2 ,7 ,2 ,11,5,1
4504,6 ,5 ,7 ,18,2,0
4505,2 ,5 ,8 ,15,6,0
4506,2 ,4 ,1 ,7,3,0
4507,1 ,9 ,4 ,14,8,0
4508,5 ,8 ,5 ,18,3,1
4509,6 ,9 ,7 ,22,3,0
4510,5 ,5 ,3 ,13,2,1
4511,4 ,4 ,7 ,15,3,1
4512,7 ,7 ,0 ,14,7,1
4513,1 ,7 ,5 ,13,6,0
4514,9 ,3 ,8 ,20,6,0
4515,3 ,5 ,4 ,12,2,0
4516,2 ,3 ,8 ,13,6,0
4517,8 ,5 ,9 ,22,4,0
4518,6 ,2 ,8 ,16,6,0
4519,3 ,8 ,4 ,15,5,0
4520,6 ,7 ,2 ,15,5,0
4521,4 ,4 ,4 ,12,0,1
4522,6 ,8 ,9 ,23,3,0
4523,9 ,0 ,2 ,11,9,0
4524,6 ,7 ,5 ,18,2,0
4525,7 ,0 ,3 ,10,7,0
4526,8 ,5 ,5 ,18,3,1
4527,6 ,8 ,1 ,15,7,0
4528,6 ,8 ,8 ,22,2,1
4529,8 ,0 ,3 ,11,8,0
4530,1 ,1 ,9 ,11,8,1
4531,2 ,8 ,3 ,13,6,0
4532,5 ,8 ,0 ,13,8,0
4533,3 ,3 ,0 ,6,3,1
4534,4 ,3 ,0 ,7,4,0
4535,2 ,6 ,0 ,8,6,0
4536,4 ,2 ,5 ,11,3,0
4537,5 ,5 ,2 ,12,3,1
4538,4 ,1 ,1 ,6,3,1
4539,1 ,4 ,3 ,8,3,0
4540,1 ,2 ,4 ,7,3,0
4541,8 ,7 ,6 ,21,2,0
4542,1 ,2 ,2 ,5,1,1
4543,6 ,0 ,8 ,14,8,0
4544,6 ,2 ,7 ,15,5,0
4545,7 ,1 ,4 ,12,6,0
4546,7 ,0 ,8 ,15,8,0
4547,2 ,8 ,1 ,11,7,0
4548,1 ,8 ,0 ,9,8,0
4549,4 ,2 ,4 ,10,2,1
4550,9 ,0 ,2 ,11,9,0
4551,2 ,9 ,8 ,19,7,0
4552,0 ,3 ,1 ,4,3,0
4553,3 ,9 ,5 ,17,6,0
4554,7 ,6 ,7 ,20,1,1
4555,1 ,9 ,4 ,14,8,0
4556,7 ,1 ,8 ,16,7,0
4557,5 ,5 ,1 ,11,4,1
4558,5 ,7 ,8 ,20,3,0
4559,9 ,8 ,8 ,25,1,1
4560,9 ,4 ,1 ,14,8,0
4561,3 ,0 ,4 ,7,4,0
4562,3 ,9 ,5 ,17,6,0
4563,5 ,0 ,2 ,7,5,0
4564,5 ,8 ,2 ,15,6,0
4565,1 ,6 ,2 ,9,5,0
4566,6 ,2 ,1 ,9,5,0
4567,9 ,4 ,2 ,15,7,0
4568,2 ,7 ,5 ,14,5,0
4569,3 ,9 ,2 ,14,7,0
4570,4 ,7 ,8 ,19,4,0
4571,3 ,7 ,0 ,10,7,0
4572,3 ,6 ,1 ,10,5,0
4573,8 ,9 ,7 ,24,2,0
4574,4 ,6 ,0 ,10,6,0
4575,6 ,6 ,9 ,21,3,1
4576,2 ,0 ,9 ,11,9,0
4577,0 ,6 ,6 ,12,6,1
4578,5 ,2 ,4 ,11,3,0
4579,3 ,3 ,9 ,15,6,1
4580,6 ,8 ,4 ,18,4,0
4581,1 ,5 ,0 ,6,5,0
4582,6 ,7 ,0 ,13,7,0
4583,1 ,3 ,9 ,13,8,0
4584,6 ,6 ,7 ,19,1,1
4585,7 ,3 ,8 ,18,5,0
4586,1 ,0 ,0 ,1,1,1
4587,4 ,7 ,5 ,16,3,0
4588,0 ,7 ,6 ,13,7,0
4589,0 ,7 ,3 ,10,7,0
4590,8 ,0 ,2 ,10,8,0
4591,0 ,8 ,1 ,9,8,0
4592,8 ,1 ,7 ,16,7,0
4593,8 ,2 ,9 ,19,7,0
4594,9 ,2 ,4 ,15,7,0
4595,1 ,6 ,1 ,8,5,1
4596,0 ,1 ,1 ,2,1,1
4597,5 ,5 ,7 ,17,2,1
4598,6 ,0 ,5 ,11,6,0
4599,2 ,1 ,3 ,6,2,0
4600,6 ,0 ,5 ,11,6,0
4601,9 ,4 ,9 ,22,5,1
4602,0 ,4 ,1 ,5,4,0
4603,4 ,7 ,4 ,15,3,1
4604,3 ,9 ,1 ,13,8,0
4605,6 ,4 ,2 ,12,4,0
4606,4 ,2 ,9 ,15,7,0
4607,4 ,6 ,1 ,11,5,0
4608,9 ,6 ,3 ,18,6,0
4609,2 ,9 ,6 ,17,7,0
4610,3 ,0 ,8 ,11,8,0
4611,1 ,9 ,2 ,12,8,0
4612,7 ,1 ,3 ,11,6,0
4613,3 ,1 ,2 ,6,2,0
4614,6 ,7 ,8 ,21,2,0
4615,0 ,4 ,1 ,5,4,0
4616,3 ,8 ,2 ,13,6,0
4617,7 ,7 ,4 ,18,3,1
4618,1 ,8 ,2 ,11,7,0
4619,9 ,7 ,4 ,20,5,0
4620,6 ,6 ,7 ,19,1,1
4621,9 ,4 ,5 ,18,5,0
4622,9 ,3 ,5 ,17,6,0
4623,2 ,8 ,8 ,18,6,1
4624,9 ,7 ,8 ,24,2,0
4625,0 ,8 ,8 ,16,8,1
4626,3 ,6 ,2 ,11,4,0
4627,7 ,8 ,5 ,20,3,0
4628,6 ,1 ,4 ,11,5,0
4629,2 ,8 ,7 ,17,6,0
4630,3 ,3 ,0 ,6,3,1
4631,4 ,3 ,7 ,14,4,0
4632,1 ,4 ,2 ,7,3,0
4633,4 ,0 ,7 ,11,7,0
4634,5 ,1 ,3 ,9,4,0
4635,6 ,6 ,8 ,20,2,1
4636,9 ,1 ,7 ,17,8,0
4637,6 ,4 ,9 ,19,5,0
4638,3 ,7 ,0 ,10,7,0
4639,7 ,7 ,3 ,17,4,1
4640,7 ,9 ,7 ,23,2,1
4641,6 ,1 ,4 ,11,5,0
4642,2 ,0 ,9 ,11,9,0
4643,6 ,9 ,5 ,20,4,0
4644,3 ,5 ,1 ,9,4,0
4645,9 ,9 ,8 ,26,1,1
4646,5 ,2 ,2 ,9,3,1
4647,7 ,7 ,1 ,15,6,1
4648,2 ,2 ,3 ,7,1,1
4649,5 ,0 ,5 ,10,5,1
4650,7 ,2 ,7 ,16,5,1
4651,5 ,1 ,5 ,11,4,1
4652,7 ,1 ,3 ,11,6,0
4653,7 ,7 ,3 ,17,4,1
4654,3 ,7 ,1 ,11,6,0
4655,6 ,1 ,0 ,7,6,0
4656,2 ,4 ,5 ,11,3,0
4657,0 ,4 ,7 ,11,7,0
4658,0 ,2 ,9 ,11,9,0
4659,9 ,3 ,7 ,19,6,0
4660,0 ,3 ,1 ,4,3,0
4661,0 ,5 ,3 ,8,5,0
4662,0 ,5 ,5 ,10,5,1
4663,9 ,1 ,9 ,19,8,1
4664,7 ,3 ,0 ,10,7,0
4665,5 ,9 ,9 ,23,4,1
4666,6 ,6 ,0 ,12,6,1
4667,0 ,4 ,7 ,11,7,0
4668,7 ,6 ,4 ,17,3,0
4669,4 ,0 ,2 ,6,4,0
4670,2 ,0 ,7 ,9,7,0
4671,6 ,5 ,6 ,17,1,1
4672,0 ,2 ,7 ,9,7,0
4673,9 ,0 ,2 ,11,9,0
4674,9 ,0 ,9 ,18,9,1
4675,7 ,3 ,1 ,11,6,0
4676,7 ,0 ,0 ,7,7,1
4677,9 ,8 ,2 ,19,7,0
4678,3 ,2 ,5 ,10,3,0
4679,8 ,7 ,5 ,20,3,0
4680,2 ,1 ,8 ,11,7,0
4681,0 ,6 ,8 ,14,8,0
4682,4 ,5 ,2 ,11,3,0
4683,2 ,8 ,3 ,13,6,0
4684,3 ,6 ,7 ,16,4,0
4685,2 ,7 ,8 ,17,6,0
4686,1 ,1 ,7 ,9,6,1
4687,7 ,1 ,1 ,9,6,1
4688,1 ,5 ,0 ,6,5,0
4689,1 ,7 ,8 ,16,7,0
4690,7 ,4 ,4 ,15,3,1
4691,2 ,7 ,5 ,14,5,0
4692,8 ,3 ,3 ,14,5,1
4693,0 ,4 ,3 ,7,4,0
4694,0 ,9 ,4 ,13,9,0
4695,0 ,7 ,6 ,13,7,0
4696,7 ,9 ,4 ,20,5,0
4697,5 ,2 ,1 ,8,4,0
4698,2 ,2 ,4 ,8,2,1
4699,8 ,6 ,1 ,15,7,0
4700,6 ,5 ,6 ,17,1,1
4701,6 ,3 ,6 ,15,3,1
4702,7 ,9 ,9 ,25,2,1
4703,4 ,7 ,2 ,13,5,0
4704,0 ,4 ,3 ,7,4,0
4705,6 ,8 ,3 ,17,5,0
4706,1 ,6 ,3 ,10,5,0
4707,1 ,9 ,7 ,17,8,0
4708,6 ,2 ,2 ,10,4,1
4709,3 ,9 ,5 ,17,6,0
4710,4 ,6 ,4 ,14,2,1
4711,7 ,8 ,3 ,18,5,0
4712,8 ,5 ,6 ,19,3,0
4713,5 ,6 ,9 ,20,4,0
4714,8 ,8 ,9 ,25,1,1
4715,6 ,4 ,0 ,10,6,0
4716,2 ,8 ,5 ,15,6,0
4717,8 ,2 ,7 ,17,6,0
4718,5 ,4 ,7 ,16,3,0
4719,3 ,6 ,8 ,17,5,0
4720,7 ,9 ,9 ,25,2,1
4721,6 ,8 ,8 ,22,2,1
4722,4 ,4 ,2 ,10,2,1
4723,7 ,5 ,7 ,19,2,1
4724,1 ,5 ,8 ,14,7,0
4725,1 ,9 ,6 ,16,8,0
4726,8 ,0 ,7 ,15,8,0
4727,5 ,6 ,1 ,12,5,0
4728,6 ,8 ,0 ,14,8,0
4729,8 ,4 ,0 ,12,8,0
4730,4 ,9 ,0 ,13,9,0
4731,2 ,8 ,8 ,18,6,1
4732,3 ,0 ,1 ,4,3,0
4733,4 ,9 ,1 ,14,8,0
4734,6 ,2 ,2 ,10,4,1
4735,8 ,1 ,0 ,9,8,0
4736,2 ,2 ,4 ,8,2,1
4737,0 ,6 ,9 ,15,9,0
4738,1 ,7 ,8 ,16,7,0
4739,7 ,1 ,8 ,16,7,0
4740,9 ,4 ,7 ,20,5,0
4741,4 ,7 ,2 ,13,5,0
4742,3 ,1 ,4 ,8,3,0
4743,9 ,5 ,5 ,19,4,1
4744,8 ,3 ,6 ,17,5,0
4745,8 ,9 ,9 ,26,1,1
4746,3 ,4 ,9 ,16,6,0
4747,6 ,3 ,4 ,13,3,0
4748,3 ,6 ,7 ,16,4,0
4749,5 ,6 ,5 ,16,1,1
4750,7 ,4 ,6 ,17,3,0
4751,7 ,9 ,6 ,22,3,0
4752,2 ,6 ,8 ,16,6,0
4753,3 ,0 ,9 ,12,9,0
4754,3 ,2 ,6 ,11,4,0
4755,8 ,8 ,7 ,23,1,1
4756,4 ,3 ,8 ,15,5,0
4757,9 ,3 ,6 ,18,6,0
4758,7 ,7 ,6 ,20,1,1
4759,6 ,7 ,4 ,17,3,0
4760,1 ,3 ,9 ,13,8,0
4761,2 ,4 ,1 ,7,3,0
4762,4 ,1 ,5 ,10,4,0
4763,7 ,5 ,8 ,20,3,0
4764,4 ,7 ,4 ,15,3,1
4765,9 ,8 ,8 ,25,1,1
4766,8 ,7 ,1 ,16,7,0
4767,4 ,5 ,1 ,10,4,0
4768,4 ,0 ,5 ,9,5,0
4769,8 ,4 ,4 ,16,4,1
4770,5 ,9 ,8 ,22,4,0
4771,7 ,7 ,1 ,15,6,1
4772,7 ,1 ,6 ,14,6,0
4773,6 ,0 ,7 ,13,7,0
4774,0 ,7 ,9 ,16,9,0
4775,7 ,8 ,4 ,19,4,0
4776,2 ,2 ,7 ,11,5,1
4777,2 ,7 ,4 ,13,5,0
4778,2 ,4 ,0 ,6,4,0
4779,5 ,9 ,9 ,23,4,1
4780,2 ,5 ,9 ,16,7,0
4781,9 ,7 ,1 ,17,8,0
4782,0 ,9 ,7 ,16,9,0
4783,3 ,1 ,3 ,7,2,1
4784,0 ,5 ,5 ,10,5,1
4785,2 ,1 ,8 ,11,7,0
4786,4 ,7 ,1 ,12,6,0
4787,6 ,8 ,5 ,19,3,0
4788,0 ,0 ,1 ,1,1,1
4789,6 ,6 ,1 ,13,5,1
4790,2 ,3 ,1 ,6,2,0
4791,3 ,7 ,8 ,18,5,0
4792,2 ,3 ,9 ,14,7,0
4793,1 ,8 ,2 ,11,7,0
4794,3 ,3 ,9 ,15,6,1
4795,7 ,5 ,5 ,17,2,1
4796,8 ,1 ,2 ,11,7,0
4797,3 ,6 ,0 ,9,6,0
4798,8 ,8 ,0 ,16,8,1
4799,9 ,8 ,0 ,17,9,0
4800,1 ,9 ,7 ,17,8,0
4801,4 ,6 ,1 ,11,5,0
4802,3 ,3 ,1 ,7,2,1
4803,7 ,5 ,0 ,12,7,0
4804,0 ,2 ,2 ,4,2,1
4805,2 ,7 ,5 ,14,5,0
4806,4 ,3 ,0 ,7,4,0
4807,6 ,6 ,0 ,12,6,1
4808,4 ,5 ,1 ,10,4,0
4809,4 ,1 ,1 ,6,3,1
4810,1 ,8 ,8 ,17,7,1
4811,8 ,2 ,7 ,17,6,0
4812,2 ,2 ,2 ,6,0,1
4813,0 ,3 ,7 ,10,7,0
4814,8 ,4 ,7 ,19,4,0
4815,2 ,9 ,7 ,18,7,0
4816,8 ,2 ,3 ,13,6,0
4817,0 ,3 ,9 ,12,9,0
4818,0 ,3 ,0 ,3,3,1
4819,1 ,3 ,3 ,7,2,1
4820,5 ,6 ,7 ,18,2,0
4821,1 ,8 ,9 ,18,8,0
4822,6 ,0 ,1 ,7,6,0
4823,3 ,0 ,6 ,9,6,0
4824,5 ,1 ,1 ,7,4,1
4825,3 ,1 ,3 ,7,2,1
4826,6 ,7 ,2 ,15,5,0
4827,8 ,6 ,4 ,18,4,0
4828,4 ,9 ,8 ,21,5,0
4829,5 ,0 ,3 ,8,5,0
4830,7 ,4 ,3 ,14,4,0
4831,7 ,7 ,3 ,17,4,1
4832,6 ,0 ,5 ,11,6,0
4833,1 ,4 ,1 ,6,3,1
4834,3 ,8 ,1 ,12,7,0
4835,7 ,0 ,2 ,9,7,0
4836,2 ,8 ,1 ,11,7,0
4837,4 ,1 ,7 ,12,6,0
4838,7 ,3 ,1 ,11,6,0
4839,1 ,1 ,9 ,11,8,1
4840,8 ,7 ,0 ,15,8,0
4841,5 ,1 ,9 ,15,8,0
4842,8 ,7 ,8 ,23,1,1
4843,6 ,6 ,3 ,15,3,1
4844,2 ,2 ,4 ,8,2,1
4845,4 ,0 ,8 ,12,8,0
4846,7 ,1 ,3 ,11,6,0
4847,7 ,7 ,4 ,18,3,1
4848,4 ,1 ,6 ,11,5,0
4849,6 ,5 ,1 ,12,5,0
4850,7 ,8 ,1 ,16,7,0
4851,8 ,1 ,3 ,12,7,0
4852,5 ,8 ,0 ,13,8,0
4853,5 ,7 ,7 ,19,2,1
4854,1 ,3 ,1 ,5,2,1
4855,5 ,5 ,3 ,13,2,1
4856,9 ,0 ,5 ,14,9,0
4857,9 ,2 ,5 ,16,7,0
4858,9 ,8 ,8 ,25,1,1
4859,6 ,4 ,4 ,14,2,1
4860,3 ,1 ,3 ,7,2,1
4861,0 ,9 ,0 ,9,9,1
4862,6 ,3 ,5 ,14,3,0
4863,2 ,5 ,3 ,10,3,0
4864,5 ,4 ,7 ,16,3,0
4865,5 ,0 ,8 ,13,8,0
4866,7 ,0 ,1 ,8,7,0
4867,8 ,9 ,6 ,23,3,0
4868,2 ,0 ,5 ,7,5,0
4869,2 ,4 ,1 ,7,3,0
4870,2 ,1 ,6 ,9,5,0
4871,0 ,5 ,3 ,8,5,0
4872,3 ,6 ,5 ,14,3,0
4873,1 ,9 ,9 ,19,8,1
4874,5 ,6 ,6 ,17,1,1
4875,8 ,8 ,4 ,20,4,1
4876,0 ,6 ,5 ,11,6,0
4877,5 ,5 ,0 ,10,5,1
4878,8 ,0 ,1 ,9,8,0
4879,8 ,1 ,0 ,9,8,0
4880,2 ,3 ,4 ,9,2,0
4881,1 ,4 ,5 ,10,4,0
4882,1 ,8 ,7 ,16,7,0
4883,2 ,9 ,0 ,11,9,0
4884,6 ,7 ,1 ,14,6,0
4885,9 ,5 ,2 ,16,7,0
4886,6 ,8 ,3 ,17,5,0
4887,8 ,1 ,1 ,10,7,1
4888,4 ,3 ,2 ,9,2,0
4889,4 ,5 ,4 ,13,1,1
4890,1 ,0 ,7 ,8,7,0
4891,2 ,6 ,4 ,12,4,0
4892,1 ,0 ,7 ,8,7,0
4893,2 ,6 ,7 ,15,5,0
4894,8 ,9 ,9 ,26,1,1
4895,4 ,6 ,2 ,12,4,0
4896,9 ,5 ,7 ,21,4,0
4897,7 ,6 ,4 ,17,3,0
4898,8 ,9 ,9 ,26,1,1
4899,8 ,8 ,7 ,23,1,1
4900,8 ,3 ,1 ,12,7,0
4901,3 ,1 ,3 ,7,2,1
4902,4 ,9 ,8 ,21,5,0
4903,9 ,9 ,5 ,23,4,1
4904,3 ,1 ,9 ,13,8,0
4905,8 ,7 ,3 ,18,5,0
4906,6 ,6 ,8 ,20,2,1
4907,9 ,6 ,7 ,22,3,0
4908,5 ,1 ,4 ,10,4,0
4909,1 ,7 ,8 ,16,7,0
4910,8 ,3 ,5 ,16,5,0
4911,7 ,2 ,2 ,11,5,1
4912,8 ,8 ,9 ,25,1,1
4913,5 ,5 ,5 ,15,0,1
4914,0 ,6 ,4 ,10,6,0
4915,1 ,1 ,8 ,10,7,1
4916,3 ,2 ,0 ,5,3,0
4917,9 ,6 ,3 ,18,6,0
4918,0 ,8 ,2 ,10,8,0
4919,9 ,1 ,4 ,14,8,0
4920,0 ,1 ,9 ,10,9,0
4921,7 ,5 ,2 ,14,5,0
4922,7 ,8 ,7 ,22,1,1
4923,3 ,3 ,4 ,10,1,1
